epoch,train_loss,val_auc_roc,val_f1,val_acc,SE,SP
22,0.22443,0.949102,0.736633,0.95651,0.647899,0.988482
23,0.170937,0.971515,0.811887,0.967536,0.746298,0.990456
24,0.157698,0.975984,0.817782,0.969062,0.739564,0.992837
25,0.148625,0.978052,0.834445,0.970101,0.802679,0.987446
26,0.143383,0.97756,0.782948,0.965379,0.665171,0.99648
27,0.138223,0.981358,0.807714,0.968591,0.702735,0.996133
28,0.136085,0.979846,0.839287,0.972235,0.772309,0.992947
29,0.133302,0.98368,0.850313,0.973062,0.815077,0.989428
30,0.131112,0.983005,0.856858,0.974782,0.804045,0.99247
31,0.128059,0.980004,0.718512,0.957836,0.573248,0.997679
32,0.126034,0.984089,0.846283,0.973676,0.771934,0.994576
33,0.124724,0.983716,0.838905,0.972729,0.756409,0.99514
34,0.122754,0.985429,0.853932,0.974867,0.782608,0.994785
35,0.121488,0.985984,0.848847,0.974262,0.769869,0.995437
36,0.120234,0.984724,0.765827,0.963413,0.63732,0.997195
37,0.118598,0.986347,0.868743,0.976254,0.837112,0.990669
38,0.116816,0.98746,0.866244,0.976488,0.811057,0.993626
39,0.115693,0.985444,0.845452,0.973832,0.762471,0.995729
40,0.115263,0.986978,0.851027,0.974548,0.774452,0.995277
41,0.113161,0.9887,0.853854,0.975159,0.77303,0.996099
42,0.112197,0.987113,0.85344,0.974777,0.782329,0.994714
43,0.111527,0.987101,0.828455,0.971409,0.735443,0.995855
44,0.109883,0.987914,0.835785,0.972573,0.743505,0.996304
45,0.108864,0.986648,0.799399,0.96762,0.687287,0.996662
46,0.108219,0.988412,0.877335,0.978117,0.833645,0.993084
47,0.106803,0.988366,0.858135,0.975626,0.785321,0.995341
