epoch,step,s-nll,a-nll,s-kl,a-kl,i-l,sa-l,aa-l
08,016000,2.6558,2.5834,0.0278,1.8379,0.0000,0.0000,0.0000
08,016200,2.7841,2.6837,0.0000,0.0000,0.0000,0.5906,2.1591
08,016400,2.8274,2.7179,0.0000,0.0000,0.0000,0.8263,2.5662
08,016600,2.6357,2.5547,0.0000,0.0000,0.0000,0.5484,1.8960
08,016800,2.5130,2.3953,0.0000,0.0000,0.0000,0.4621,2.3762
08,017000,2.8861,2.7504,0.0000,0.0000,0.0000,0.7311,2.2904
08,017200,2.5174,2.3262,0.0169,1.6455,0.0000,0.0000,0.0000
09,017400,2.7358,2.6415,0.0161,1.7658,0.0000,0.0000,0.0000
09,017600,2.5804,2.4096,0.0000,0.0000,0.0000,0.6614,2.5377
09,017800,2.6054,2.4425,0.0328,1.8099,0.0000,0.0000,0.0000
09,018000,2.8392,2.7710,0.0150,1.6509,0.0000,0.0000,0.0000
09,018200,2.6721,2.5211,0.0483,1.7749,0.0000,0.0000,0.0000
09,018400,2.5839,2.4785,0.0333,1.7485,0.0000,0.0000,0.0000
09,018600,2.4165,2.2059,0.0000,0.0000,0.0000,0.7768,2.5075
09,018800,2.6710,2.4618,0.0194,2.0890,0.0000,0.0000,0.0000
09,019000,2.5422,2.3745,0.0000,0.0000,0.0000,0.6070,2.8133
09,019200,2.7797,2.6160,0.0000,0.0000,0.0000,0.0760,2.6955
10,019400,2.5451,2.3527,0.0224,2.4869,0.0000,0.0000,0.0000
10,019600,2.8196,2.6263,0.0186,2.5117,0.0000,0.0000,0.0000
10,019800,2.5961,2.4541,0.0000,0.0000,0.0000,0.4234,2.2471
10,020000,2.5989,2.4893,0.0276,1.5678,-0.0000,0.0000,0.0000
10,020200,2.5752,2.4397,0.0000,0.0000,0.0000,0.5749,2.2989
10,020400,2.6791,2.5560,0.0000,0.0000,0.0000,0.7687,2.0173
10,020600,3.0140,2.8541,0.1380,1.6165,0.0000,0.0000,0.0000
10,020800,2.5933,2.4837,0.0000,0.0000,0.0000,0.4800,2.0944
10,021000,2.6649,2.4199,0.0426,2.2949,-0.0000,0.0000,0.0000
11,021200,2.6266,2.4770,0.0204,2.3545,0.0000,0.0000,0.0000
11,021400,2.2536,2.1770,0.0000,0.0000,0.0000,0.2781,1.3294
11,021600,2.5833,2.4304,0.0305,1.5299,0.0000,0.0000,0.0000
11,021800,2.7301,2.5475,0.0000,0.0000,0.0000,0.4732,2.2573
11,022000,2.3693,2.2544,0.0000,0.0000,0.0000,0.4544,2.1508
11,022200,2.9417,2.8382,0.0182,2.1653,-0.0000,0.0000,0.0000
11,022400,2.6675,2.5767,0.0297,1.8051,0.0000,0.0000,0.0000
11,022600,2.4937,2.3739,0.0367,1.6488,0.0000,0.0000,0.0000
11,022800,2.3350,2.1690,0.0463,1.9264,0.0000,0.0000,0.0000
11,023000,2.4271,2.3734,0.0000,0.0000,0.0000,0.4416,1.5621
12,023200,2.1778,2.0933,0.0000,0.0000,0.0000,0.5194,1.8870
12,023400,2.5115,2.3851,0.0181,1.5439,0.0000,0.0000,0.0000
12,023600,2.4623,2.3359,0.0166,1.6394,0.0000,0.0000,0.0000
12,023800,2.2759,2.2316,0.0251,1.8895,0.0000,0.0000,0.0000
12,024000,2.6246,2.5518,0.0625,1.7293,-0.0000,0.0000,0.0000
12,024200,2.2189,2.0631,0.0561,1.8598,0.0000,0.0000,0.0000
12,024400,2.5479,2.4099,0.0274,2.0609,-0.0000,0.0000,0.0000
12,024600,2.7538,2.6605,0.0280,2.2616,0.0000,0.0000,0.0000
12,024800,2.6238,2.5289,0.0000,0.0000,0.0000,0.9079,2.1298
13,025000,2.2459,2.1387,0.0000,0.0000,0.0000,0.5431,1.8801
13,025200,2.2950,2.2537,0.0000,0.0000,0.0000,0.6547,1.5634
13,025400,2.3539,2.3074,0.0284,1.3417,-0.0000,0.0000,0.0000
13,025600,2.3617,2.1978,0.0227,2.0623,-0.0000,0.0000,0.0000
13,025800,2.4315,2.2941,0.0000,0.0000,0.0000,0.6141,1.8916
13,026000,2.2583,2.1224,0.0000,0.0000,0.0000,0.5157,2.0505
13,026200,2.3762,2.2601,0.0332,1.7285,0.0000,0.0000,0.0000
13,026400,2.5167,2.4022,0.0280,1.6500,0.0000,0.0000,0.0000
13,026600,2.4189,2.3175,0.0336,1.9041,0.0000,0.0000,0.0000
