epoch,train_loss,val_auc_roc,val_f1,val_acc,SE,SP
18,,0.5,0.03061,0.015543,1.0,0.0
19,,0.5,0.03061,0.015543,1.0,0.0
20,,0.5,0.03061,0.015543,1.0,0.0
